,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
50,Hyundai ,Verna ,2015-2016 1.6 CRDi AT SX,2015,"99,000 KM",DIESEL,AUTOMATIC,2nd, Chandigarh,"5,75,000"
51,Kia ,Seltos ,HTX G,2019,6097.0 KM,PETROL,AUTOMATIC,1st, Hyderabad,"15,60,000"
52,Maruti Suzuki ,Vitara Brezza ,Others,2020,17396.0 KM,PETROL,MANUAL,1st, Thane,"10,25,000"
53,Maruti Suzuki ,Swift Dzire ,Vdi BSIV,2017,110000.0 KM,DIESEL,MANUAL,1st, Karimnagar,"6,95,000"
54,Hyundai ,i10 ,Era 1.1 LPG,2008,"140,000 KM",LPG,MANUAL,3rd, Bhind,"1,50,000"
55,Maruti Suzuki ,Swift Dzire ,VDI,2012,"78,000 KM",DIESEL,AUTOMATIC,2nd, Abohar,"3,60,000"
56,Toyota ,Yaris ,J,2018,16278.0 KM,PETROL,MANUAL,1st, Mumbai,"7,90,000"
57,-,-,-,-,-,-,-,-,-,-
58,Honda ,Accord ,2.4 VTi-L Automatic,2007,75000.0 KM,PETROL,AUTOMATIC,2nd, Hyderabad,"2,45,000"
59,Renault ,Duster ,1.5 Petrol RXL,2015,7646.0 KM,PETROL,MANUAL,1st, Mumbai,"6,99,000"
60,Renault ,Duster ,110PS Diesel RxZ AWD,2012,61000.0 KM,DIESEL,MANUAL,1st, Surat,"4,25,000"
61,Audi ,Q3 ,,2017,8600.0 KM,PETROL,AUTOMATIC,1st, Chennai,"28,50,000"
62,Chevrolet ,Sail ,,2014,32000.0 KM,PETROL,MANUAL,1st, Dehradun,"3,00,000"
63,Tata ,Nexon ,1.2 Revotron XZ Plus,2018,16231.0 KM,PETROL,MANUAL,1st, Bengaluru,"8,99,000"
64,Maruti Suzuki ,Ciaz ,2014-2017 VDi Plus SHVS,2016,28000.0 KM,DIESEL,MANUAL,1st, Delhi,"6,50,000"
65,Mah,Bolero ,SLE,2014,83000.0 KM,DIESEL,MANUAL,1st, Ghaziabad,"4,70,001"
66,Hyundai ,EON ,Era +,2018,40000.0 KM,PETROL,MANUAL,1st, Delhi,"3,25,000"
67,Honda ,Mobilio ,V i-VTEC,2015,43400.0 KM,CNG & HYBRIDS,MANUAL,1st, Mumbai,"5,95,000"
68,Toyota ,Camry ,2002-2011 W3 (MT),2008,55.0 KM,--,--,--, Kochi,"15,000"
69,Mah,Others ,,2020,"7,100 KM",PETROL,MANUAL,1st, Safidon,"3,20,000"
70,Honda ,City ,2014-2015 i DTEC SV,2014,87000.0 KM,DIESEL,MANUAL,1st, Ahmedabad,"5,60,000"
71,Maruti Suzuki ,Alto ,LXi,2010,80000.0 KM,PETROL,MANUAL,2nd, Kochi,"1,55,000"
72,-,-,-,-,-,-,-,-,-,-
73,Tata ,Nano ,2009-2011 Cx BSIII,2011,20375 KM,PETROL,MANUAL,Third, Secunderabad,"83,000"
74,Ford ,Escort ,Sport E 1.6,2015,60000.0 KM,DIESEL,MANUAL,2nd, Nipani,"6,50,000"
75,Toyota ,Etios Liva ,1.4 GD,2012,"73,000 KM",DIESEL,MANUAL,2nd, Kozhikode,"4,20,000"
76,Mah,TUV 300 ,T10,2018,69000.0 KM,DIESEL,MANUAL,1st, Visakhapatnam,"8,50,000"
77,Mah,XUV500 ,2011-2015 W6-2WD,2013,"129,000 KM",DIESEL,MANUAL,2nd, Indore,"6,51,000"
78,-,-,-,-,-,-,-,-,-,-
79,Maruti Suzuki ,Omni ,Cargo BS-III,2014,78222.0 KM,PETROL,MANUAL,1st, Tiruppur,"2,50,000"
80,Ford ,Ecosport ,1.5 Diesel Trend Plus,2017,108628 KM,DIESEL,MANUAL,Second, Chennai,"6,50,000"
81,Honda ,City ,2015-2017 i VTEC SV,2016,38000.0 KM,PETROL,MANUAL,1st, Delhi,"6,70,000"
82,Honda ,City ,i-VTEC S,2018,50563.0 KM,PETROL,MANUAL,1st, Mumbai,"7,75,000"
83,Renault ,KWID ,AMT RXL,2017,33000.0 KM,PETROL,AUTOMATIC,1st, Coimbatore,"3,64,000"
84,Hyundai ,i10 ,Era 1.1 CRDi,2011,70000 KM,PETROL,MANUAL,Second, Dehradun,"1,90,000"
85,Toyota ,Etios Liva ,1.4 GD,2012,85000.0 KM,DIESEL,MANUAL,1st, Ghaziabad,"2,65,000"
86,Kia ,Others ,,2020,7000.0 KM,PETROL,AUTOMATIC,1st, Hyderabad,"10,75,000"
87,Hyundai ,EON ,Era +,2014,14000.0 KM,PETROL,MANUAL,1st, Bengaluru,"3,00,000"
88,Volkswagen ,Polo ,1.0 MPI Highline,2020,"9,950 KM",PETROL,MANUAL,1st, Kottarakkara,"3,00,000"
89,Mah,TUV 300 ,T8,2016,74000.0 KM,DIESEL,MANUAL,1st, Visakhapatnam,"6,80,000"
90,Mercedes-Benz ,S-Class ,S 350 CDIL,2012,73000.0 KM,DIESEL,AUTOMATIC,1st, Thane,"19,50,000"
91,Hyundai ,Verna ,Fluidic 1.6 VTVT SX,2012,88000.0 KM,PETROL,MANUAL,1st, Coimbatore,"4,50,000"
92,Maruti Suzuki ,Alto ,LXi,2010,68253.0 KM,PETROL,MANUAL,1st, Chennai,"2,00,000"
93,Hyundai ,i10 ,1.2 Kappa Magna,2010,72000.0 KM,PETROL,MANUAL,1st, Namakkal,"3,10,000"
94,Ford ,Figo ,2010-2012 Petrol ZXI,2010,38000.0 KM,PETROL,MANUAL,3rd, Nagpur,"2,15,000"
